"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"29","경상남도 창원시 마산합포구 교원동","46","0046","0000","무학자이","59.9268","202606","18","30,000","-","9","개인","개인","2011","노산서18길 19","-","중개거래","경남 창원시 마산합포구","-"
"30","경상남도 창원시 진해구 석동","675","0675","0000","우림필유","133.3700","202606","18","50,000","-","9","개인","개인","2008","해원로 45","-","직거래","-","-"
"31","경상남도 창원시 진해구 경화동","1388","1388","0000","대동다:숲","84.9950","202606","18","19,000","-","4","개인","개인","2006","조천북로 79","-","중개거래","경남 창원시 진해구","-"
"32","경상남도 창원시 성산구 남양동","17","0017","0000","우성","73.3500","202606","18","36,000","-","1","개인","개인","1989","대암로 22","-","중개거래","경남 창원시 성산구","-"
"33","경상남도 창원시 성산구 남양동","17","0017","0000","우성","68.1600","202606","18","25,500","-","3","개인","개인","1989","대암로 22","-","직거래","-","-"
"34","경상남도 창원시 진해구 자은동","121","0121","0000","자은프라임","84.8900","202606","18","29,000","-","4","개인","개인","2015","냉천로 257","-","중개거래","경남 창원시 진해구","-"
"35","경상남도 창원시 진해구 청안동","472","0472","0000","풍림","59.9600","202606","18","9,300","-","4","개인","개인","2000","안청북로 39","-","중개거래","경남 창원시 진해구","-"
"36","경상남도 창원시 성산구 반림동","18","0018","0000","트리비앙","76.0300","202606","18","63,700","-","10","개인","개인","2006","원이대로 495","-","중개거래","경남 창원시 성산구","-"
"37","경상남도 진주시 평거동","1132","1132","0000","엠코타운더프라하","84.9330","202606","18","53,700","-","15","개인","개인","2014","새평거로 30","-","중개거래","경남 진주시","-"
"38","경상남도 창원시 성산구 대방동","356","0356","0000","덕산타운1","49.9400","202606","18","13,250","-","18","개인","개인","1992","대정로 131","-","중개거래","경남 창원시 성산구","-"
"39","경상남도 창원시 성산구 대방동","355","0355","0000","성원남산3차","47.9700","202606","18","11,600","-","8","개인","개인","1992","대암로 126","-","중개거래","경남 창원시 성산구","-"
"40","경상남도 창원시 성산구 상남동","45-1","0045","0001","성원","84.9100","202606","18","36,000","-","3","개인","개인","1994","원이대로 774","-","중개거래","경남 창원시 성산구","-"
"41","경상남도 창원시 성산구 사파동","93","0093","0000","동성","49.5000","202606","18","16,500","-","15","개인","개인","1992","창이대로 737","-","중개거래","경남 창원시 성산구","-"
"42","경상남도 창원시 마산회원구 석전동","300","0300","0000","창원메트로시티석전","84.9952","202606","18","59,900","-","23","개인","개인","2019","석전남8길 40","-","중개거래","경남 창원시 마산회원구","-"
"43","경상남도 김해시 안동","333","0333","0000","한일","84.8300","202606","18","14,500","-","3","개인","개인","1998","삼안로111번길 12","-","중개거래","경남 김해시","-"
"44","경상남도 거제시 옥포동","1274","1274","0000","옥포5차덕산타운","59.9250","202606","18","5,250","-","6","개인","개인","1996","옥포로 328","-","중개거래","경남 거제시","-"
"45","경상남도 양산시 물금읍 가촌리","1282","1282","0000","양산물금양우내안애3차센트럴아파트","100.3943","202606","18","47,800","-","6","개인","개인","2016","야리로 89","-","중개거래","경남 양산시","-"
"46","경상남도 김해시 신문동","1540","1540","0000","더스카이시티제니스앤프라우","84.7942","202606","18","50,000","-","31","개인","개인","2025","장유로 500","-","중개거래","경남 김해시","-"
"47","경상남도 김해시 신문동","가-","0000","0000","더샵신문그리니티","84.6801","202606","18","48,293","-","12","개인","개인","2026","신문중앙로 110","-","중개거래","경남 김해시","-"
"48","경상남도 양산시 물금읍 가촌리","1271-3","1271","0003","양우내안애1차","59.9674","202606","18","27,500","-","12","개인","개인","2014","야리로 30","-","중개거래","경남 양산시","-"
"49","경상남도 양산시 신기동","508-3","0508","0003","신기주공","38.6400","202606","18","7,250","-","5","개인","개인","1993","신기서길 23","-","중개거래","경남 양산시","-"
"50","경상남도 김해시 외동","1249-7","1249","0007","성원","49.8900","202606","18","11,450","-","15","개인","개인","1996","우암로 8","20260620","중개거래","경남 김해시","-"
"51","경상남도 양산시 신기동","653","0653","0000","양산유탑유블레스하늘리에","59.9950","202606","18","15,800","-","6","개인","개인","2019","명곡로 141","-","중개거래","경남 양산시","-"
"52","경상남도 김해시 장유동","870","0870","0000","김해율하시티프라디움","84.9815","202606","18","40,300","-","5","개인","개인","2019","율하5로 11","-","중개거래","경남 김해시","-"
"53","경상남도 김해시 진영읍 진영리","1710","1710","0000","김해진영휴먼빌아파트","84.9923","202606","18","23,100","-","9","개인","개인","2016","장등1로31번길 7","-","중개거래","경남 김해시","-"
"54","경상남도 김해시 지내동","67","0067","0000","1차동원","59.7600","202606","18","15,800","-","9","개인","개인","2000","분성로727번길 16","-","중개거래","경남 김해시","-"
"55","경상남도 양산시 물금읍 범어리","2712-14","2712","0014","양산신도시반도유보라2차","63.7425","202606","18","32,000","-","18","개인","개인","2013","범어로 57","-","중개거래","경남 양산시","-"
"56","경상남도 양산시 남부동","608-4","0608","0004","동원로얄듀크","84.9813","202606","18","25,000","-","6","개인","개인","2005","양주로 32","-","중개거래","경남 양산시","-"
"57","경상남도 양산시 평산동","568-20","0568","0020","덕계동일스위트1","59.6913","202606","18","11,250","-","4","개인","개인","2001","신명로 88","-","중개거래","경남 양산시","-"
"58","경상남도 김해시 삼문동","1280","1280","0000","김해대청천에피트","75.7290","202606","18","41,500","-","2","개인","개인","2026","삼문로 61","-","중개거래","경남 김해시","-"
"59","경상남도 양산시 덕계동","1103","1103","0000","동일스위트2","45.0660","202606","17","9,500","-","1","개인","개인","2003","덕계5길 14","-","중개거래","경남 양산시","-"
"60","경상남도 김해시 외동","1260-3","1260","0003","서광","59.8000","202606","17","11,700","-","3","개인","개인","1997","함박로 149","-","중개거래","경남 김해시","-"
