"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 강원특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"30","강원특별자치도 춘천시 퇴계동","1240","1240","0000","이편한세상춘천한숲시티","84.8462","202606","18","56,000","-","10","개인","개인","2019","안마산로 133","-","중개거래","강원 춘천시","-"
"31","강원특별자치도 춘천시 퇴계동","1052","1052","0000","퇴계이안","84.9877","202606","18","34,500","-","12","개인","개인","2007","영서로 2169","-","중개거래","강원 춘천시","-"
"32","강원특별자치도 강릉시 입암동","685","0685","0000","입암5주공","49.9700","202606","18","10,000","-","9","개인","개인","1996","성덕포남로 89-17","-","중개거래","강원 강릉시","-"
"33","강원특별자치도 강릉시 입암동","641","0641","0000","입암1주공","39.7200","202606","18","7,250","-","1","개인","개인","1986","강변로 364","-","중개거래","강원 강릉시","-"
"34","강원특별자치도 삼척시 정상동","457-3","0457","0003","석미","39.8700","202606","18","6,700","-","2","개인","개인","1998","청석로 78","-","중개거래","강원 삼척시","-"
"35","강원특별자치도 평창군 봉평면 무이리","691-45","0691","0045","장웅파인힐","35.5100","202606","18","7,000","-","8","개인","개인","2004","태기로 101-33","-","직거래","-","-"
"36","강원특별자치도 춘천시 석사동","820","0820","0000","퇴계3주공","84.9000","202606","18","22,300","-","9","개인","개인","1999","퇴계로 220-19","-","중개거래","강원 춘천시","-"
"37","강원특별자치도 춘천시 석사동","893","0893","0000","석사동현진에버빌1차","84.9210","202606","18","30,500","-","5","개인","개인","2004","지석로 97","-","중개거래","강원 춘천시","-"
"38","강원특별자치도 원주시 명륜동","856","0856","0000","더샵원주센트럴파크2단지","84.9836","202606","18","45,500","-","24","개인","개인","2021","서원대로 290","-","중개거래","강원 원주시","-"
"39","강원특별자치도 원주시 명륜동","802","0802","0000","성원","84.9300","202606","18","14,900","-","2","개인","법인","2000","무실로 155","-","중개거래","강원 원주시","-"
"40","강원특별자치도 원주시 우산동","821","0821","0000","원주신일유토빌","84.7900","202606","18","22,000","-","15","개인","개인","2012","우산공단길 23","-","중개거래","강원 원주시","-"
"41","강원특별자치도 원주시 단계동","1184","1184","0000","원주봉화산푸르지오","72.8882","202606","18","32,500","-","13","개인","개인","2017","봉화서부로 11","-","중개거래","강원 원주시","-"
"42","강원특별자치도 태백시 소도동","19","0019","0000","한솔","45.4050","202606","18","2,700","-","5","개인","개인","1989","소도1길 71","-","직거래","-","-"
"43","강원특별자치도 강릉시 교동","1759","1759","0000","현대하이빌","152.9400","202606","18","51,000","-","10","개인","개인","1999","원대로128번길 14","-","중개거래","강원 강릉시","-"
"44","강원특별자치도 원주시 무실동","1921","1921","0000","더샵원주센트럴파크1단지","59.9230","202606","18","36,000","-","27","개인","개인","2021","한지공원길 120","-","중개거래","강원 원주시","-"
"45","강원특별자치도 춘천시 우두동","1085","1085","0000","춘천파크에뷰","84.8300","202606","18","35,000","-","20","개인","개인","2020","우두1길 129","-","중개거래","강원 춘천시","-"
"46","강원특별자치도 원주시 단구동","1702","1702","0000","중앙하이츠아파트","84.9748","202606","18","19,900","-","4","개인","개인","2008","단관공원길 111","-","중개거래","강원 원주시","-"
"47","강원특별자치도 원주시 단구동","1520","1520","0000","두산","101.9700","202606","18","17,800","-","12","개인","개인","1997","남원로 496","-","중개거래","강원 원주시","-"
"48","강원특별자치도 강릉시 주문진읍 주문리","842","0842","0000","우일해변","81.6525","202606","17","17,000","-","8","개인","개인","1991","소돌안길 32-6","-","중개거래","강원 강릉시","-"
"49","강원특별자치도 정선군 고한읍 고한리","440","0440","0000","파인앤유 아파트","84.8631","202606","17","24,700","-","14","개인","개인","2018","고한7길 20","-","직거래","-","-"
"50","강원특별자치도 원주시 원동","295","0295","0000","원동주공1","39.7200","202606","17","5,800","108","3","개인","개인","1987","무실로 121","-","직거래","-","26.06.17"
"51","강원특별자치도 원주시 지정면 가곡리","1464","1464","0000","호반베르디움더리버","95.7086","202606","17","34,300","-","15","개인","개인","2019","신지정로 265","-","중개거래","강원 원주시","-"
"52","강원특별자치도 강릉시 주문진읍 교항리","1166-1","1166","0001","우신그린피아임대","49.8600","202606","17","7,300","-","7","개인","법인","1999","보리골길 26","-","중개거래","강원 강릉시","-"
"53","강원특별자치도 태백시 황지동","87-8","0087","0008","주공2","39.7200","202606","17","5,000","-","2","개인","개인","1985","황지로 29","-","중개거래","강원 태백시","-"
"54","강원특별자치도 원주시 단구동","1684-1","1684","0001","청솔4차","58.6500","202606","17","8,400","402","15","개인","개인","2001","단구로 416","-","중개거래","강원 원주시","26.06.17"
"55","강원특별자치도 원주시 단구동","1721","1721","0000","원주단구내안애카운티에듀파크1단지","84.8784","202606","17","34,500","-","17","개인","개인","2020","오성마을길 63-25","-","중개거래","강원 원주시","-"
"56","강원특별자치도 원주시 단구동","1461","1461","0000","한신휴플러스2차아파트","84.9800","202606","17","23,000","-","5","개인","개인","2006","서원대로 427","-","중개거래","강원 원주시","-"
"57","강원특별자치도 원주시 단구동","1679","1679","0000","청솔3차","58.6500","202606","17","10,500","-","7","개인","개인","2000","단구로 406","-","중개거래","강원 원주시","-"
"58","강원특별자치도 동해시 동회동","459","0459","0000","동해프라우드스위첸","84.8488","202606","17","47,300","-","3","개인","개인","2023","효자로 631","-","중개거래","강원 동해시","-"
"59","강원특별자치도 원주시 단구동","1461","1461","0000","한신휴플러스2차아파트","127.8650","202606","17","28,500","-","14","개인","개인","2006","서원대로 427","-","중개거래","강원 원주시","-"
