"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"30","부산광역시 해운대구 좌동","1321","1321","0000","벽산1","59.7300","202606","18","52,500","-","7","개인","개인","1996","대천로 205","-","중개거래","부산 해운대구","-"
"31","부산광역시 기장군 일광읍 삼성리","746","0746","0000","이지더원1차오션포레","59.6181","202606","18","31,300","-","17","개인","개인","2020","해빛4로 1","-","중개거래","부산 기장군","-"
"32","부산광역시 수영구 남천동","74-6","0074","0006","리부스남천","75.4900","202606","18","32,000","-","7","개인","개인","2021","남천서로 5-6","-","중개거래","부산 수영구","-"
"33","부산광역시 북구 화명동","188","0188","0000","벽산강변타운","74.4800","202606","18","21,200","-","16","개인","개인","1995","양달로9번길 21","-","중개거래","부산 북구","-"
"34","부산광역시 중구 보수동2가","65-2","0065","0002","보수동해마루아파트2차","76.3736","202606","18","24,500","-","10","개인","개인","2017","흑교로75번길 12","-","중개거래","부산 중구","-"
"35","부산광역시 남구 대연동","1740-13","1740","0013","예광스카이빌라","81.0075","202606","18","20,000","-","7","개인","개인","2001","유엔평화로3번길 15","-","중개거래","부산 부산진구","-"
"36","부산광역시 남구 대연동","1858","1858","0000","대연힐스테이트푸르지오","102.1400","202606","18","114,500","-","12","개인","개인","2013","수영로 345","-","중개거래","부산 남구","-"
"37","부산광역시 동래구 낙민동","90-6","0090","0006","중앙하이츠2","84.8300","202606","18","38,000","-","21","개인","개인","1996","안남로 36","-","중개거래","부산 동래구, 부산 연제구","-"
"38","부산광역시 영도구 봉래동4가","300","0300","0000","영도유림","59.9900","202606","18","7,300","-","1","개인","개인","1996","봉래길 94","-","중개거래","부산 영도구","-"
"39","부산광역시 남구 문현동","383-1","0383","0001","문현삼성힐타워","125.0400","202606","18","50,500","-","22","개인","개인","2002","전포대로 26","-","중개거래","부산 남구","-"
"40","부산광역시 북구 화명동","2322","2322","0000","수정강변타운","49.8200","202606","18","21,800","-","11","개인","개인","2001","학사로17번길 31","-","중개거래","경남 김해시, 부산 북구","-"
"41","부산광역시 영도구 청학동","537","0537","0000","청학우성스마트시티뷰","65.9789","202606","18","26,800","-","4","개인","개인","2022","태종로 405","-","중개거래","부산 영도구","-"
"42","부산광역시 부산진구 당감동","516","0516","0000","개금주공3단지","61.5200","202606","18","18,500","305","2","개인","법인","1989","백양관문로 10","-","직거래","-","26.06.18"
"43","부산광역시 북구 금곡동","1885","1885","0000","화명리버빌2차","82.6300","202606","18","35,500","-","5","개인","개인","2003","화명신도시로 244","-","중개거래","부산 북구","-"
"44","부산광역시 부산진구 연지동","406","0406","0000","연지자이2차","100.1433","202606","18","53,800","-","19","개인","개인","2011","초연로 11","-","중개거래","부산 부산진구","-"
"45","부산광역시 북구 화명동","2322","2322","0000","수정강변타운","59.4000","202606","18","29,000","-","12","개인","개인","2001","학사로17번길 31","-","중개거래","부산 북구","-"
"46","부산광역시 남구 문현동","390-24","0390","0024","문현동태영데시앙","84.9676","202606","18","37,000","-","5","개인","개인","2006","전포대로 38","-","중개거래","부산 남구","-"
"47","부산광역시 북구 구포동","1295","1295","0000","구포유림노르웨이숲2차","124.8478","202606","18","37,000","-","10","개인","개인","2008","낙동북로 743","-","중개거래","부산 북구","-"
"48","부산광역시 부산진구 양정동","367-14","0367","0014","양정이즈카운티","49.3500","202606","18","25,000","-","4","개인","개인","2020","양지로14번길 24","-","중개거래","부산 부산진구","-"
"49","부산광역시 부산진구 연지동","415","0415","0000","래미안어반파크1단지","84.9400","202606","18","75,500","-","12","개인","개인","2022","성지로 37","-","중개거래","광주 남구","-"
"50","부산광역시 동구 초량동","1165-11","1165","0011","부산역유림줄리엣","24.5973","202606","18","9,000","-","14","개인","개인","2014","중앙대로274번길 7-3","-","중개거래","부산 동구","-"
"51","부산광역시 부산진구 양정동","458-5","0458","0005","현대1차","84.9900","202606","18","35,000","-","1","개인","개인","1997","동평로 352","-","중개거래","부산 부산진구","-"
"52","부산광역시 부산진구 양정동","458-20","0458","0020","현대2차","84.9900","202606","18","39,500","-","4","개인","개인","1998","거제대로 37","-","중개거래","부산 부산진구","-"
"53","부산광역시 북구 만덕동","960","0960","0000","더 래디언트 금정산","59.9900","202606","18","32,650","-","21","개인","개인","2019","상학로 35","-","중개거래","부산 북구","-"
"54","부산광역시 북구 화명동","2322","2322","0000","수정강변타운","49.8200","202606","17","18,400","-","1","개인","개인","2001","학사로17번길 31","-","중개거래","부산 북구","-"
"55","부산광역시 부산진구 부암동","304-1","0304","0001","마제스타워서면","84.9900","202606","17","32,300","-","17","개인","개인","2008","동평로 197","-","중개거래","부산 부산진구","-"
"56","부산광역시 북구 금곡동","810","0810","0000","금곡8단지주공","42.2900","202606","17","6,300","-","1","개인","개인","1996","효열로 134","-","중개거래","부산 북구","-"
"57","부산광역시 동래구 안락동","15-26","0015","0026","안락현대","59.8700","202606","17","25,000","-","10","개인","개인","2001","삼어로 9","-","중개거래","부산 동래구","-"
"58","부산광역시 서구 토성동1가","25-1","0025","0001","토성동경동리인타워","79.5266","202606","17","57,000","-","40","개인","개인","2018","보수대로 27","-","중개거래","부산 서구","-"
"59","부산광역시 부산진구 당감동","516","0516","0000","개금주공3단지","41.3000","202606","17","10,750","-","3","개인","개인","1989","백양관문로 10","-","중개거래","부산 부산진구","-"
"60","부산광역시 부산진구 당감동","1024","1024","0000","서면2차봄여름가을겨울","81.6857","202606","17","42,900","-","21","개인","개인","2019","신천대로197번길 15","-","중개거래","부산 부산진구","-"
"61","부산광역시 해운대구 반여동","1192-3","1192","0003","일동미라주","56.9704","202606","17","18,500","-","16","개인","개인","2001","삼어로 77","-","중개거래","부산 해운대구","-"
"62","부산광역시 해운대구 반여동","1641","1641","0000","센텀롯데캐슬3차아파트","59.9399","202606","17","35,000","-","14","개인","개인","2005","반여로 83","-","중개거래","울산 울주군","-"
"63","부산광역시 동래구 온천동","1129-4","1129","0004","대동타운","59.5400","202606","17","21,000","-","20","개인","개인","1998","금정마을로 120","-","중개거래","부산 연제구","-"
"64","부산광역시 동래구 온천동","1850","1850","0000","동래3차SKVIEW","74.8650","202606","17","49,700","-","26","개인","개인","2021","온천장로65번길 9","-","중개거래","부산 동래구","-"
"65","부산광역시 북구 만덕동","962","0962","0000","이편한세상금정산","84.9144","202606","17","42,700","-","17","개인","개인","2021","상학로 36","-","중개거래","부산 북구","-"
"66","부산광역시 동래구 사직동","1039","1039","0000","사직역삼정그린코아더베스트1차","84.9477","202606","17","76,000","-","7","개인","개인","2016","사직로 8","-","중개거래","부산 연제구","-"
"67","부산광역시 북구 만덕동","774","0774","0000","럭키","84.2800","202606","17","15,000","-","5","개인","개인","1991","덕천로 194","-","중개거래","부산 북구","-"
"68","부산광역시 북구 구포동","1296","1296","0000","구포동원로얄듀크비스타","73.1170","202606","17","37,000","-","12","개인","개인","2014","낙동대로1738번길 10","-","중개거래","부산 북구","-"
"69","부산광역시 북구 구포동","1095-2","1095","0002","삼정그린코아","116.9600","202606","17","43,500","-","5","개인","개인","1999","백양대로1016번길 10","-","중개거래","부산 북구","-"
