"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 세종특별자치시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"32","세종특별자치시  아름동","1277","1277","0000","대우푸르지오(10단지)","84.9238","202606","13","52,000","-","13","공공기관","개인","2014","달빛로 211","-","중개거래","세종","-"
"33","세종특별자치시  조치원읍 죽림리","396","0396","0000","조치원죽림자이","84.6641","202606","13","24,500","-","2","개인","개인","2008","도원로 16","-","중개거래","세종","-"
"34","세종특별자치시  소담동","598","0598","0000","새샘마을5단지(한양수자인엘시티)","59.4544","202606","13","34,400","-","2","개인","개인","2017","남세종로 301","-","중개거래","세종","-"
"35","세종특별자치시  다정동","953","0953","0000","가온마을2단지","75.5531","202606","13","59,000","-","7","개인","개인","2018","다정북로 110","-","중개거래","세종","-"
"36","세종특별자치시  대평동","700","0700","0000","해들마을5단지","59.9100","202606","13","42,000","-","17","개인","개인","2019","대평로 56","-","중개거래","세종","-"
"37","세종특별자치시  종촌동","690","0690","0000","가재마을5단지","84.9424","202606","13","54,800","-","17","개인","개인","2014","도움1로 105","-","중개거래","세종","-"
"38","세종특별자치시  고운동","1706","1706","0000","가락마을8단지(고운뜰아파트)","74.7700","202606","13","40,500","-","9","개인","개인","2015","만남로 92","-","중개거래","세종","-"
"39","세종특별자치시  조치원읍 죽림리","396","0396","0000","조치원죽림자이","84.6641","202606","13","29,200","-","11","개인","개인","2008","도원로 16","-","중개거래","세종","-"
"40","세종특별자치시  다정동","964","0964","0000","가온마을4단지","59.9900","202606","13","52,500","-","5","개인","개인","2019","다정중앙로 19","-","중개거래","세종","-"
"41","세종특별자치시  보람동","777","0777","0000","호려울마을8단지(중흥에코시티)","84.9895","202606","13","63,500","-","20","개인","개인","2017","보람동로 14","-","중개거래","경기 군포시, 세종","-"
"42","세종특별자치시  대평동","668","0668","0000","해들마을6단지","99.0725","202606","13","95,000","-","28","개인","개인","2018","대평로 80","-","중개거래","세종","-"
"43","세종특별자치시  한솔동","976","0976","0000","첫마을7단지(래미안)","59.1000","202606","13","35,000","-","5","개인","개인","2012","나리로 38","-","중개거래","세종","-"
"44","세종특별자치시  집현동","1181","1181","0000","새나루마을11단지세종어울림파밀리에센트럴","74.9300","202606","13","57,000","-","10","개인","개인","2021","집현서2로 84","-","중개거래","세종","-"
"45","세종특별자치시  대평동","707","0707","0000","해들마을1단지","84.9429","202606","13","58,000","-","3","개인","개인","2018","대평1길 27","-","중개거래","세종","-"
"46","세종특별자치시  나성동","827","0827","0000","나릿재마을5단지","84.7818","202606","13","81,000","-","8","개인","개인","2021","나성북1로 23","-","중개거래","세종","-"
"47","세종특별자치시  소담동","521","0521","0000","새샘마을9단지(중흥S클래스리버뷰)","84.9779","202606","13","69,000","-","12","개인","개인","2016","국책연구원1로 15","-","중개거래","세종","-"
"48","세종특별자치시  해밀동","649","0649","0000","해밀마을1단지","84.8500","202606","13","73,500","-","9","개인","개인","2020","해밀3로 32","-","중개거래","세종","-"
"49","세종특별자치시  아름동","1277","1277","0000","대우푸르지오(10단지)","84.9375","202606","13","52,800","-","13","공공기관","개인","2014","달빛로 211","-","중개거래","세종","-"
"50","세종특별자치시  아름동","1277","1277","0000","대우푸르지오(10단지)","84.9375","202606","13","53,300","-","29","공공기관","개인","2014","달빛로 211","-","중개거래","세종","-"
"51","세종특별자치시  아름동","1277","1277","0000","대우푸르지오(10단지)","84.9539","202606","13","53,250","-","11","공공기관","개인","2014","달빛로 211","-","중개거래","세종","-"
"52","세종특별자치시  아름동","1277","1277","0000","대우푸르지오(10단지)","84.9375","202606","13","53,650","-","23","공공기관","개인","2014","달빛로 211","-","중개거래","세종","-"
"53","세종특별자치시  아름동","1277","1277","0000","대우푸르지오(10단지)","84.9837","202606","13","51,450","-","16","공공기관","개인","2014","달빛로 211","-","중개거래","세종","-"
"54","세종특별자치시  아름동","1277","1277","0000","대우푸르지오(10단지)","84.9375","202606","13","53,150","-","22","공공기관","개인","2014","달빛로 211","-","중개거래","세종","-"
"55","세종특별자치시  소담동","521","0521","0000","새샘마을9단지(중흥S클래스리버뷰)","109.9244","202606","12","135,000","-","29","개인","개인","2016","국책연구원1로 15","-","중개거래","세종","-"
"56","세종특별자치시  다정동","920","0920","0000","가온마을9단지","74.9300","202606","12","53,000","-","8","개인","개인","2019","다정북로 183","-","중개거래","세종","-"
"57","세종특별자치시  소담동","598","0598","0000","새샘마을5단지(한양수자인엘시티)","59.4544","202606","12","35,000","-","2","개인","개인","2017","남세종로 301","-","직거래","-","-"
"58","세종특별자치시  아름동","1277","1277","0000","대우푸르지오(10단지)","84.9539","202606","12","53,800","-","26","공공기관","개인","2014","달빛로 211","-","중개거래","세종","-"
"59","세종특별자치시  아름동","1277","1277","0000","대우푸르지오(10단지)","84.9375","202606","12","52,150","-","10","공공기관","개인","2014","달빛로 211","-","중개거래","세종","-"
"60","세종특별자치시  도담동","632","0632","0000","중흥 그린카운티(13단지)","59.1132","202606","12","42,800","-","4","개인","개인","2014","보람로 95","-","중개거래","세종","-"
"61","세종특별자치시  조치원읍 신안리","244-1","0244","0001","조형","39.9700","202606","12","6,000","-","4","개인","개인","1991","운주산로 60","-","중개거래","세종","-"
"62","세종특별자치시  아름동","1277","1277","0000","대우푸르지오(10단지)","84.9539","202606","12","52,450","-","20","공공기관","개인","2014","달빛로 211","-","중개거래","세종","-"
"63","세종특별자치시  아름동","1277","1277","0000","대우푸르지오(10단지)","84.9375","202606","12","51,900","-","1","공공기관","개인","2014","달빛로 211","-","중개거래","세종","-"
"64","세종특별자치시  대평동","700","0700","0000","해들마을5단지","59.9100","202606","11","40,800","-","13","개인","개인","2019","대평로 56","-","중개거래","세종","-"
"65","세종특별자치시  소담동","550","0550","0000","새샘마을3단지(모아미래도리버시티)","97.9940","202606","11","76,000","-","11","개인","개인","2016","시청대로 236","-","중개거래","세종","-"
"66","세종특별자치시  산울동","259","0259","0000","산울마을2단지(세종자이더시티)","101.8207","202606","11","82,000","-","11","개인","개인","2024","산울3로 45","-","중개거래","세종","-"
"67","세종특별자치시  소담동","586","0586","0000","새샘마을6단지(한신더휴펜타힐스)","59.9700","202606","11","44,500","-","14","개인","개인","2017","남세종로 302","-","중개거래","세종","-"
"68","세종특별자치시  조치원읍 죽림리","389","0389","0000","죽림대우푸르지오","84.9228","202606","11","25,000","-","5","개인","개인","2007","죽림본로 33-6","-","중개거래","세종","-"
