"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-22"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"31","대구광역시 동구 신암동","1839","1839","0000","동대구우방아이유쉘","전세","84.9907","202606","18","26,500","0","7","2020","송라로32길 32","202609~202809","갱신","-","25,000","0","아파트"
"32","대구광역시 동구 동호동","362","0362","0000","상록아파트","전세","59.7200","202606","18","8,366","0","1","2004","동호로 47","202607~202807","신규","-","","","아파트"
"33","대구광역시 남구 대명동","910-1","0910","0001","현우팰리스","월세","83.1522","202606","18","14,000","40","15","2016","대명로 140","202607~202807","신규","-","","","아파트"
"34","대구광역시 수성구 중동","662","0662","0000","수성푸르지오리버센트","전세","84.9976","202606","18","36,000","0","13","2024","수성로35길 50","202607~202807","갱신","사용","34,500","0","아파트"
"35","대구광역시 중구 남산동","3012","3012","0000","남산역화성파크드림","전세","59.1950","202606","18","24,000","0","3","2018","남산로7길 7","202608~202808","신규","-","","","아파트"
"36","대구광역시 북구 태전동","1244","1244","0000","대구태전역광신프로그레스","전세","75.0162","202606","18","23,000","0","9","2023","태전로7길 34","202607~202807","신규","-","","","아파트"
"37","대구광역시 동구 신암동","1870","1870","0000","해링턴플레이스동대구","전세","39.4596","202606","18","16,800","0","7","2024","경대로 126","202608~202808","신규","-","","","아파트"
"38","대구광역시 동구 동호동","362","0362","0000","상록아파트","월세","59.7200","202606","18","1,859","22","12","2004","동호로 47","202607~202807","신규","-","","","아파트"
"39","대구광역시 달서구 상인동","1596","1596","0000","상인화성파크드림2단지","월세","84.9900","202606","18","4,103","48","20","2010","송현로7길 9","202607~202807","신규","-","","","아파트"
"40","대구광역시 달서구 상인동","1473-1","1473","0001","우방청자","전세","66.1300","202606","18","11,000","0","4","1989","상화북로 117","202607~202807","신규","-","","","아파트"
"41","대구광역시 달서구 감삼동","704","0704","0000","죽전역동화아이위시","전세","84.4714","202606","18","36,000","0","18","2022","와룡로 123","202608~202808","신규","-","","","아파트"
"42","대구광역시 수성구 범어동","2236","2236","0000","범어풀비체","월세","84.9019","202606","18","10,000","170","11","2013","범어로 61","202608~202808","갱신","-","10,000","150","아파트"
"43","대구광역시 수성구 사월동","510-2","0510","0002","태왕리더스","월세","84.9300","202606","18","3,500","70","1","2004","달구벌대로669길 70","202607~202807","신규","-","","","아파트"
"44","대구광역시 수성구 범물동","1336","1336","0000","범물한라창신태성맨션","전세","84.8500","202606","18","20,000","0","4","1992","용학로 272","202608~202808","신규","-","","","아파트"
"45","대구광역시 수성구 범물동","697-1","0697","0001","보성송정타운","전세","59.9600","202606","18","10,000","0","19","1995","지범로46길 43","202607~202807","신규","-","","","아파트"
"46","대구광역시 남구 이천동","1189","1189","0000","교대역푸르지오트레힐즈","전세","38.5485","202606","18","18,300","0","13","2025","이천로19길 16","202608~202808","신규","-","","","아파트"
"47","대구광역시 동구 봉무동","1530","1530","0000","대구이시아폴리스더샵3차","전세","96.8600","202606","18","31,000","0","7","2013","팔공로51길 10","202608~202808","신규","-","","","아파트"
"48","대구광역시 북구 칠성동2가","715","0715","0000","대구역 서희스타힐스","월세","74.9300","202606","18","2,000","90","21","2012","칠성남로 101","202608~202808","신규","-","","","아파트"
"49","대구광역시 동구 신암동","1852","1852","0000","동대구해모로스퀘어웨스트","전세","59.8510","202606","18","27,000","0","6","2023","동북로 340","202609~202809","신규","-","","","아파트"
"50","대구광역시 서구 내당동","350-1","0350","0001","삼익주택","전세","84.6600","202606","17","16,500","0","12","1979","서대구로 25","202608~202808","신규","-","","","아파트"
"51","대구광역시 수성구 범어동","371","0371","0000","궁전맨션","월세","108.9900","202606","17","5,000","105","15","1988","동대구로 274","202606~202806","갱신","-","5,000","110","아파트"
"52","대구광역시 수성구 범어동","2291","2291","0000","수성범어W","전세","84.9974","202606","17","52,500","0","52","2023","달구벌대로 2436","202606~202806","갱신","사용","50,000","0","아파트"
"53","대구광역시 동구 신암동","1852","1852","0000","동대구해모로스퀘어웨스트","전세","76.7437","202606","17","25,725","0","1","2023","동북로 340","202606~202806","갱신","사용","24,500","0","아파트"
"54","대구광역시 북구 칠성동2가","302-141","0302","0141","대구역센트레빌더오페라","월세","84.5992","202606","17","3,000","130","27","2026","칠성남로26길 33","202606~202806","신규","-","","","아파트"
"55","대구광역시 수성구 만촌동","1479","1479","0000","만촌3차화성파크드림","월세","84.9800","202606","17","10,000","130","4","2016","교학로 13","202608~202808","신규","-","","","아파트"
"56","대구광역시 북구 고성동1가","265","0265","0000","힐스테이트대구역오페라","월세","84.8715","202606","17","2,000","120","6","2024","칠성남로 30","202607~202807","신규","-","","","아파트"
"57","대구광역시 수성구 황금동","986","0986","0000","힐스테이트황금엘포레","전세","84.9899","202606","17","44,500","0","10","2022","청솔로 16","202608~202808","신규","-","","","아파트"
"58","대구광역시 동구 동호동","362","0362","0000","상록아파트","전세","59.7200","202606","17","9,296","0","13","2004","동호로 47","202607~202807","갱신","-","12,356","0","아파트"
"59","대구광역시 동구 동호동","362","0362","0000","상록아파트","월세","59.7200","202606","17","1,859","17","8","2004","동호로 47","202608~202808","갱신","-","2,042","19","아파트"
"60","대구광역시 중구 태평로3가","211-1","0211","0001","힐스테이트대구역퍼스트2차","전세","84.6679","202606","17","25,500","0","6","2025","태평로 101","202608~202808","신규","-","","","아파트"
"61","대구광역시 북구 복현동","241-1","0241","0001","복현블루밍브라운스톤명문세가","월세","85.0000","202606","17","3,152","29","2","2011"," ","202607~202807","갱신","-","9,683","22","아파트"
"62","대구광역시 북구 복현동","241-1","0241","0001","복현블루밍브라운스톤명문세가","월세","85.0000","202606","17","12,608","7","9","2011"," ","202608~202808","갱신","-","12,863","7","아파트"
"63","대구광역시 동구 각산동","909","0909","0000","대구혁신도시서원프레시빌","월세","49.5201","202606","17","1,000","60","12","2016","반야월북로27길 21-8","202607~202807","신규","-","","","아파트"
"64","대구광역시 남구 대명동","3086","3086","0000","힐스테이트대명센트럴2차","전세","84.9952","202606","17","30,000","0","25","2026","대명로 272","202608~202808","신규","-","","","아파트"
"65","대구광역시 달서구 상인동","1596","1596","0000","상인화성파크드림2단지","전세","84.9800","202606","17","20,519","0","9","2010","송현로7길 9","202608~202808","갱신","-","20,519","0","아파트"
